fighter_id,sig_strikes_succ,takedowns_att,takedowns_succ,submiss_att,reversals,ctrl,knockdowns,total_strikes_att,total_strikes_succ,sig_strikes_att
3031.0,28.0,2.0,1.0,1.0,0.0,33,0.0,65.0,32.0,61.0
3033.0,25.0,1.0,1.0,3.0,0.0,244,1.0,77.0,54.0,45.0
3034.0,99.0,19.0,12.0,1.0,0.0,1651,2.0,296.0,219.0,146.0
3035.0,171.0,2.0,0.0,0.0,1.0,35,0.0,589.0,207.0,543.0
3036.0,9.0,0.0,0.0,0.0,0.0,0,1.0,15.0,12.0,12.0
3038.0,113.0,34.0,24.0,0.0,0.0,2412,0.0,385.0,305.0,166.0
3040.0,72.0,1.0,0.0,0.0,0.0,2,0.0,180.0,79.0,173.0
3041.0,713.0,92.0,26.0,9.0,2.0,2778,5.0,1972.0,958.0,1698.0
3042.0,17.0,0.0,0.0,0.0,0.0,19,0.0,50.0,21.0,46.0
3043.0,830.0,22.0,9.0,7.0,0.0,1814,0.0,2488.0,1099.0,2179.0
3045.0,540.0,4.0,3.0,1.0,0.0,277,1.0,1395.0,577.0,1349.0
3046.0,480.0,65.0,33.0,2.0,0.0,2607,0.0,1515.0,952.0,979.0
3047.0,47.0,9.0,2.0,0.0,0.0,456,0.0,192.0,117.0,112.0
3048.0,2.0,1.0,0.0,2.0,0.0,38,0.0,20.0,3.0,19.0
3049.0,446.0,31.0,7.0,0.0,0.0,811,0.0,1435.0,553.0,1309.0
3050.0,42.0,6.0,5.0,1.0,1.0,224,0.0,169.0,88.0,117.0
3051.0,595.0,116.0,51.0,0.0,1.0,4684,4.0,1886.0,870.0,1571.0
3053.0,578.0,38.0,17.0,3.0,2.0,2825,1.0,1564.0,773.0,1337.0
3055.0,4.0,0.0,0.0,0.0,0.0,0,0.0,11.0,7.0,7.0
3056.0,229.0,10.0,3.0,10.0,1.0,353,2.0,674.0,258.0,639.0
3060.0,246.0,14.0,3.0,0.0,0.0,377,0.0,812.0,273.0,784.0
3061.0,243.0,8.0,3.0,0.0,0.0,185,0.0,575.0,314.0,496.0
3062.0,44.0,14.0,11.0,3.0,0.0,532,0.0,137.0,109.0,62.0
3063.0,453.0,128.0,45.0,4.0,5.0,3586,0.0,2091.0,1298.0,1124.0
3065.0,435.0,32.0,13.0,8.0,1.0,2013,5.0,1379.0,806.0,970.0
3066.0,82.0,5.0,2.0,0.0,0.0,168,0.0,203.0,109.0,174.0
3072.0,50.0,6.0,0.0,1.0,0.0,108,1.0,152.0,71.0,129.0
3073.0,676.0,27.0,13.0,5.0,0.0,996,1.0,1566.0,831.0,1392.0
3074.0,32.0,0.0,0.0,0.0,0.0,10,0.0,108.0,51.0,87.0
3076.0,54.0,4.0,3.0,1.0,0.0,89,0.0,142.0,56.0,140.0
3079.0,112.0,1.0,0.0,0.0,0.0,0,0.0,492.0,121.0,482.0
3080.0,1.0,3.0,0.0,7.0,0.0,34,0.0,13.0,1.0,13.0
3083.0,41.0,6.0,1.0,0.0,0.0,71,0.0,128.0,52.0,113.0
3087.0,729.0,29.0,11.0,1.0,1.0,773,11.0,2086.0,789.0,2002.0
3088.0,286.0,22.0,9.0,1.0,2.0,1061,0.0,711.0,337.0,636.0
3089.0,182.0,18.0,9.0,1.0,0.0,650,2.0,651.0,235.0,591.0
